ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante
2010,1,08/05/2010,Botafogo,Santos,3,3
2010,1,08/05/2010,Atlético-GO,Grêmio,0,0
2010,1,08/05/2010,Palmeiras,Vitória,1,0
2010,1,09/05/2010,Flamengo,São Paulo,1,1
2010,1,09/05/2010,Atlético-MG,Vasco da Gama,2,1
2010,1,09/05/2010,Internacional,Cruzeiro,1,2
2010,1,09/05/2010,Corinthians,Atlético-PR,2,1
2010,1,09/05/2010,Ceará,Fluminense,1,0
2010,1,09/05/2010,Guarani,Goiás,1,0
2010,1,09/05/2010,Avaí,Barueri,6,1
2010,2,15/05/2010,Fluminense,Atlético-GO,1,0
2010,2,15/05/2010,Barueri,Atlético-MG,4,0
2010,2,15/05/2010,Vitória,Flamengo,1,1
2010,2,16/05/2010,São Paulo,Botafogo,1,2
2010,2,16/05/2010,Grêmio,Corinthians,1,2
2010,2,16/05/2010,Goiás,Internacional,2,3
2010,2,16/05/2010,Santos,Ceará,1,1
2010,2,16/05/2010,Vasco da Gama,Palmeiras,0,0
2010,2,16/05/2010,Cruzeiro,Avaí,2,2
2010,2,16/05/2010,Atlético-PR,Guarani,2,2
2010,3,22/05/2010,Atlético-GO,Santos,1,2
2010,3,22/05/2010,Palmeiras,Grêmio,4,2
2010,3,22/05/2010,Botafogo,Goiás,3,0
2010,3,23/05/2010,Corinthians,Fluminense,1,0
2010,3,23/05/2010,Atlético-MG,Atlético-PR,3,1
2010,3,23/05/2010,Internacional,São Paulo,0,2
2010,3,23/05/2010,Ceará,Vitória,1,0
2010,3,23/05/2010,Avaí,Vasco da Gama,2,0
2010,3,23/05/2010,Flamengo,Barueri,3,1
2010,3,23/05/2010,Guarani,Cruzeiro,2,2
2010,4,26/05/2010,Vitória,Atlético-MG,4,3
2010,4,26/05/2010,Grêmio,Avaí,3,0
2010,4,26/05/2010,Fluminense,Flamengo,2,1
2010,4,26/05/2010,São Paulo,Palmeiras,1,0
2010,4,26/05/2010,Barueri,Corinthians,2,2
2010,4,26/05/2010,Cruzeiro,Botafogo,1,0
2010,4,27/05/2010,Santos,Guarani,3,1
2010,4,27/05/2010,Vasco da Gama,Internacional,3,2
2010,4,27/05/2010,Atlético-PR,Atlético-GO,2,1
2010,4,27/05/2010,Goiás,Ceará,0,0
2010,5,29/05/2010,Flamengo,Grêmio,1,1
2010,5,29/05/2010,Palmeiras,Barueri,0,0
2010,5,29/05/2010,Avaí,Vitória,0,0
2010,5,30/05/2010,Corinthians,Santos,4,2
2010,5,30/05/2010,Guarani,São Paulo,0,0
